TICKET_URL; IMAGE_URL; DATE; TIME; DESC; VENUE
"https://www.parisjazzclub.net/en/67378/concert/2020/02/24/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67378-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200103153843";"24-02-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/67854/concert/2020/02/24/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67854-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200121180630";"24-02-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/67375/concert/2020/02/25/five-oclock";"https://www.parisjazzclub.net/medias/concerts/67375-five-oclock/images/five-oclock-lg.jpg?20200103153753";"25-02-2020";"21PM";"No description for this concert.";"Five O'clock"
"https://www.parisjazzclub.net/en/67394/concert/2020/02/26/egidio-juke-ingala-et-the-jacknives";"https://www.parisjazzclub.net/medias/concerts/67394-egidio-juke-ingala-et-the-jacknives/images/egidio-juke-ingala-et-the-jacknives-lg.jpg?20200103155242";"26-02-2020";"21PM";"No description for this concert.";"Egidio Juke Ingala & The Jacknives"
"https://www.parisjazzclub.net/en/67396/concert/2020/02/27/egidio-juke-ingala-et-the-jacknives";"https://www.parisjazzclub.net/medias/concerts/67396-egidio-juke-ingala-et-the-jacknives/images/egidio-juke-ingala-et-the-jacknives-lg.jpg?20200103155257";"27-02-2020";"21PM";"No description for this concert.";"Egidio Juke Ingala & The Jacknives"
"https://www.parisjazzclub.net/en/67397/concert/2020/02/28/egidio-juke-ingala-et-the-jacknives";"https://www.parisjazzclub.net/medias/concerts/67397-egidio-juke-ingala-et-the-jacknives/images/egidio-juke-ingala-et-the-jacknives-lg.jpg?20200103155539";"28-02-2020";"21PM";"No description for this concert.";"Egidio Juke Ingala & The Jacknives"
"https://www.parisjazzclub.net/en/67398/concert/2020/02/29/egidio-juke-ingala-et-the-jacknives";"https://www.parisjazzclub.net/medias/concerts/67398-egidio-juke-ingala-et-the-jacknives/images/egidio-juke-ingala-et-the-jacknives-lg.jpg?20200103155522";"29-02-2020";"21PM";"No description for this concert.";"Egidio Juke Ingala & The Jacknives"
"https://www.parisjazzclub.net/en/67853/concert/2020/03/01/oyster-brothers";"https://www.parisjazzclub.net/medias/concerts/67853-oyster-brothers/images/oyster-brothers-lg.jpg?20200121180603";"1-03-2020";"21PM";"No description for this concert.";"Oyster Brothers"
"https://www.parisjazzclub.net/en/67855/concert/2020/03/02/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67855-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200121180643";"2-03-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/63383/concert/2020/03/03/heather-stewart-et-her-dirty-ragtimers";"https://www.parisjazzclub.net/medias/concerts/63383-heather-stewart-et-her-dirty-ragtimers/images/heather-stewart-et-her-dirty-ragtimers-lg.jpg?20200121180755";"3-03-2020";"21PM";"No description for this concert.";"Heather Stewart & Her Dirty Ragtimers"
"https://www.parisjazzclub.net/en/67856/concert/2020/03/04/heather-stewart-et-her-dirty-ragtimers";"https://www.parisjazzclub.net/medias/concerts/67856-heather-stewart-et-her-dirty-ragtimers/images/heather-stewart-et-her-dirty-ragtimers-lg.jpg?20200121180814";"4-03-2020";"21PM";"No description for this concert.";"Heather Stewart & Her Dirty Ragtimers"
"https://www.parisjazzclub.net/en/67858/concert/2020/03/05/stephane-seva-tribute-to-franck-et-ray";"https://www.parisjazzclub.net/medias/concerts/67858-stephane-seva-tribute-to-franck-et-ray/images/stephane-seva-tribute-to-franck-et-ray-lg.jpg?20200121180934";"5-03-2020";"21PM";"No description for this concert.";"Stéphane Seva Tribute To Franck & Ray"
"https://www.parisjazzclub.net/en/67859/concert/2020/03/06/stephane-seva-tribute-to-franck-et-ray";"https://www.parisjazzclub.net/medias/concerts/67859-stephane-seva-tribute-to-franck-et-ray/images/stephane-seva-tribute-to-franck-et-ray-lg.jpg?20200121180954";"6-03-2020";"21PM";"No description for this concert.";"Stéphane Seva Tribute To Franck & Ray"
"https://www.parisjazzclub.net/en/67860/concert/2020/03/07/stephane-seva-tribute-to-franck-et-ray";"https://www.parisjazzclub.net/medias/concerts/67860-stephane-seva-tribute-to-franck-et-ray/images/stephane-seva-tribute-to-franck-et-ray-lg.jpg?20200121181009";"7-03-2020";"21PM";"No description for this concert.";"Stéphane Seva Tribute To Franck & Ray"
"https://www.parisjazzclub.net/en/67861/concert/2020/03/08/megaswing";"https://www.parisjazzclub.net/medias/concerts/67861-megaswing/images/megaswing-lg.jpg?20200121181032";"8-03-2020";"21PM";"No description for this concert.";"Megaswing"
"https://www.parisjazzclub.net/en/67862/concert/2020/03/09/david-blenkhorn-invite-harry-allen-usa";"https://www.parisjazzclub.net/medias/concerts/67862-david-blenkhorn-invite-harry-allen-usa/images/david-blenkhorn-invite-harry-allen-usa-lg.jpg?20200121181226";"9-03-2020";"21PM";"No description for this concert.";"David Blenkhorn Feat Harry Allen (Usa)"
"https://www.parisjazzclub.net/en/67863/concert/2020/03/10/david-blenkhorn-invite-harry-allen-usa";"https://www.parisjazzclub.net/medias/concerts/67863-david-blenkhorn-invite-harry-allen-usa/images/david-blenkhorn-invite-harry-allen-usa-lg.jpg?20200121181313";"10-03-2020";"21PM";"No description for this concert.";"David Blenkhorn Feat Harry Allen (Usa)"
"https://www.parisjazzclub.net/en/67864/concert/2020/03/11/david-blenkhorn-invite-harry-allen-usa";"https://www.parisjazzclub.net/medias/concerts/67864-david-blenkhorn-invite-harry-allen-usa/images/david-blenkhorn-invite-harry-allen-usa-lg.jpg?20200121181323";"11-03-2020";"21PM";"No description for this concert.";"David Blenkhorn Feat Harry Allen (Usa)"
"https://www.parisjazzclub.net/en/67865/concert/2020/03/12/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67865-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181440";"12-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67866/concert/2020/03/13/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67866-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181427";"13-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67867/concert/2020/03/14/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67867-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181455";"14-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67868/concert/2020/03/15/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67868-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181512";"15-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67869/concert/2020/03/16/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67869-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181528";"16-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67870/concert/2020/03/17/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67870-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181541";"17-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67871/concert/2020/03/18/al-copley-trio-le-pianiste-desblues-brothers";"https://www.parisjazzclub.net/medias/concerts/67871-al-copley-trio-le-pianiste-desblues-brothers/images/al-copley-trio-le-pianiste-desblues-brothers-lg.jpg?20200121181554";"18-03-2020";"21PM";"No description for this concert.";"Al Copley Trio Le Pianiste Des Blues Brothers"
"https://www.parisjazzclub.net/en/67872/concert/2020/03/19/brooklyn-swing-all-stars";"https://www.parisjazzclub.net/medias/concerts/67872-brooklyn-swing-all-stars/images/brooklyn-swing-all-stars-lg.jpg?20200121182007";"19-03-2020";"21PM";"No description for this concert.";"Brooklyn Swing All Stars"
"https://www.parisjazzclub.net/en/67873/concert/2020/03/20/brooklyn-swing-all-stars";"https://www.parisjazzclub.net/medias/concerts/67873-brooklyn-swing-all-stars/images/brooklyn-swing-all-stars-lg.jpg?20200121182033";"20-03-2020";"21PM";"No description for this concert.";"Brooklyn Swing All Stars"
"https://www.parisjazzclub.net/en/67874/concert/2020/03/21/five-oclock";"https://www.parisjazzclub.net/medias/concerts/67874-five-oclock/images/five-oclock-lg.jpg?20200121182110";"21-03-2020";"21PM";"No description for this concert.";"Five O'clock"
"https://www.parisjazzclub.net/en/67875/concert/2020/03/22/megaswing";"https://www.parisjazzclub.net/medias/concerts/67875-megaswing/images/megaswing-lg.jpg?20200121182133";"22-03-2020";"21PM";"No description for this concert.";"Megaswing"
"https://www.parisjazzclub.net/en/67876/concert/2020/03/23/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67876-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200121182152";"23-03-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/67877/concert/2020/03/24/dany-doriz-swing-band-hommage-a-lionel-hampton";"https://www.parisjazzclub.net/medias/concerts/67877-dany-doriz-swing-band-hommage-a-lionel-hampton/images/dany-doriz-swing-band-hommage-a-lionel-hampton-lg.jpg?20200121182215";"24-03-2020";"21PM";"No description for this concert.";"Dany Doriz Swing Band Hommage à Lionel Hampton "
"https://www.parisjazzclub.net/en/67878/concert/2020/03/25/dany-doriz-swing-band-hommage-a-lionel-hampton";"https://www.parisjazzclub.net/medias/concerts/67878-dany-doriz-swing-band-hommage-a-lionel-hampton/images/dany-doriz-swing-band-hommage-a-lionel-hampton-lg.jpg?20200121182225";"25-03-2020";"21PM";"No description for this concert.";"Dany Doriz Swing Band Hommage à Lionel Hampton "
"https://www.parisjazzclub.net/en/67879/concert/2020/03/26/megaswing";"https://www.parisjazzclub.net/medias/concerts/67879-megaswing/images/megaswing-lg.jpg?20200121182239";"26-03-2020";"21PM";"No description for this concert.";"Megaswing"
"https://www.parisjazzclub.net/en/67880/concert/2020/03/27/paddy-scherlock-et-the-swingin-lovers";"https://www.parisjazzclub.net/medias/concerts/67880-paddy-scherlock-et-the-swingin-lovers/images/paddy-scherlock-et-the-swingin-lovers-lg.jpg?20200121182311";"27-03-2020";"21PM";"No description for this concert.";"Paddy Scherlock & The Swingin’ Lovers"
"https://www.parisjazzclub.net/en/67881/concert/2020/03/28/paddy-scherlock-et-the-swingin-lovers";"https://www.parisjazzclub.net/medias/concerts/67881-paddy-scherlock-et-the-swingin-lovers/images/paddy-scherlock-et-the-swingin-lovers-lg.jpg?20200121182324";"28-03-2020";"21PM";"No description for this concert.";"Paddy Scherlock & The Swingin’ Lovers"
"https://www.parisjazzclub.net/en/67882/concert/2020/03/29/puissance-jazz-big-band";"https://www.parisjazzclub.net/medias/concerts/67882-puissance-jazz-big-band/images/puissance-jazz-big-band-lg.jpg?20200121182351";"29-03-2020";"21PM";"No description for this concert.";"Puissance Jazz Big Band"
"https://www.parisjazzclub.net/en/67883/concert/2020/03/30/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67883-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200121182410";"30-03-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/67884/concert/2020/03/31/brad-child-swing-band";"https://www.parisjazzclub.net/medias/concerts/67884-brad-child-swing-band/images/brad-child-swing-band-lg.jpg?20200121182548";"31-03-2020";"21PM";"No description for this concert.";"Brad Child Swing Band"
"https://www.parisjazzclub.net/en/67885/concert/2020/04/01/brad-child-swing-band";"https://www.parisjazzclub.net/medias/concerts/67885-brad-child-swing-band/images/brad-child-swing-band-lg.jpg?20200121182618";"1-04-2020";"21PM";"No description for this concert.";"Brad Child Swing Band"
"https://www.parisjazzclub.net/en/67886/concert/2020/04/02/brad-child-swing-band";"https://www.parisjazzclub.net/medias/concerts/67886-brad-child-swing-band/images/brad-child-swing-band-lg.jpg?20200121182630";"2-04-2020";"21PM";"No description for this concert.";"Brad Child Swing Band"
