TICKET_URL; IMAGE_URL; DATE; TIME; DESC; VENUE
"https://www.parisjazzclub.net/en/66798/concert/2020/01/29/kimberly-gordon-swing-singer";"https://www.parisjazzclub.net/medias/concerts/66798-kimberly-gordon-swing-singer/images/kimberly-gordon-swing-singer-lg.jpg?20191112161505";"29-01-2020";"21PM";"No description for this concert.";"Kimberly Gordon Swing Singer"
"https://www.parisjazzclub.net/en/66799/concert/2020/01/30/kimberly-gordon-swing-singer";"https://www.parisjazzclub.net/medias/concerts/66799-kimberly-gordon-swing-singer/images/kimberly-gordon-swing-singer-lg.jpg?20191112161515";"30-01-2020";"21PM";"No description for this concert.";"Kimberly Gordon Swing Singer"
"https://www.parisjazzclub.net/en/66800/concert/2020/01/31/swingin-bayonne";"https://www.parisjazzclub.net/medias/concerts/66800-swingin-bayonne/images/swingin-bayonne-lg.jpg?20191112161706";"31-01-2020";"21PM";"No description for this concert.";"Swingin Bayonne"
"https://www.parisjazzclub.net/en/67371/concert/2020/02/01/swingin-bayonne";"https://www.parisjazzclub.net/medias/concerts/67371-swingin-bayonne/images/swingin-bayonne-lg.jpg?20200103152809";"1-02-2020";"21PM";"No description for this concert.";"Swingin Bayonne"
"https://www.parisjazzclub.net/en/67372/concert/2020/02/02/megaswing";"https://www.parisjazzclub.net/medias/concerts/67372-megaswing/images/megaswing-lg.jpg?20200103152856";"2-02-2020";"21PM";"No description for this concert.";"Megaswing"
"https://www.parisjazzclub.net/en/67373/concert/2020/02/03/monday-swing-et-blues";"https://www.parisjazzclub.net/medias/concerts/67373-monday-swing-et-blues/images/monday-swing-et-blues-lg.jpg?20200103153058";"3-02-2020";"21PM";"No description for this concert.";"Monday Swing & Blues"
"https://www.parisjazzclub.net/en/67374/concert/2020/02/04/five-oclock";"https://www.parisjazzclub.net/medias/concerts/67374-five-oclock/images/five-oclock-lg.jpg?20200103154012";"4-02-2020";"21PM";"No description for this concert.";"Five O'clock"
"https://www.parisjazzclub.net/en/67379/concert/2020/02/05/nicholas-thomas-invite-viktorija-gecyte";"https://www.parisjazzclub.net/medias/concerts/67379-nicholas-thomas-invite-viktorija-gecyte/images/nicholas-thomas-invite-viktorija-gecyte-lg.jpg?20200103154247";"5-02-2020";"21PM";"No description for this concert.";"Nicholas Thomas Feat Viktorija Gecyte"
"https://www.parisjazzclub.net/en/67380/concert/2020/02/06/nicholas-thomas-invite-viktorija-gecyte";"https://www.parisjazzclub.net/medias/concerts/67380-nicholas-thomas-invite-viktorija-gecyte/images/nicholas-thomas-invite-viktorija-gecyte-lg.jpg?20200103154312";"6-02-2020";"21PM";"No description for this concert.";"Nicholas Thomas Feat Viktorija Gecyte"
"https://www.parisjazzclub.net/en/67381/concert/2020/02/07/nicholas-thomas-invite-viktorija-gecyte";"https://www.parisjazzclub.net/medias/concerts/67381-nicholas-thomas-invite-viktorija-gecyte/images/nicholas-thomas-invite-viktorija-gecyte-lg.jpg?20200103154331";"7-02-2020";"21PM";"No description for this concert.";"Nicholas Thomas Feat Viktorija Gecyte"
